Row Labels,Sum of Freq,New Country Name
Mongolia,0%,Mongolia
Devon,0%,United Kingdom
.,0%,NA
(Northern Ireland),0%,United Kingdom
Syria,0%,Syria
Virgin Islands,0%,British Virgin Islands
Sierra Leone,0%,Sierra Leone
Netherlands Antilles,0%,Netherlands Antilles
People's Republic Of China,0%,China
Paraguay,0%,Paraguay
San Marino,0%,San Marino
"England, United Kingdom",0%,United Kingdom
Hong Kong.,0%,Hong Kong
Hampshire,0%,United Kingdom 
Channel Island,0%,UK offshore - unspecified 
The Bahamas,0%,The Bahamas
The Channel Islands,0%,UK offshore - unspecified 
Myanmar,0%,Myanmar
Saint Vincent,0%,Saint Vincent And The Grenadines
Nevis,0%,Saint Kitts And Nevis
Puerto Rico,0%,United States of America
Other,0%,NA
Republic Of Kazakhstan,0%,Kazakhstan
Singapore (018960),0%,Singapore
Republic Of Seychelles,0%,Seychelles
Commonwealth Of Dominica,0%,Dominica
England And Wales,0%,United Kingdom
"Scotland, United Kingdom",0%,Scotland
Senegal,0%,Senegal
Kyrgyz Republic,0%,Kyrgyzstan
Lichtenstein,0%,Lichtenstein
Hertfordshire,0%,United Kingdom
British Overseas Territory,0%,UK offshore - unspecified 
Engalnd,0%,United Kingdom
British Virgin Islan,0%,British Virgin Islands
United Kingdon,0%,United Kingdom
United States Minor Outlying Islands,0%,United States of America
The Gambia,0%,Gambia
Republic Of Korea,0%,South Korea
London,0%,United Kingdom
Faroe Islands,0%,Denmark
Guatemala,0%,Guatemala
Kent,0%,United Kingdom
Benin,0%,Benin
Bolivia,0%,Bolivia
British West Indies,0%,West Indies - unspecified
Swaziland,0%,Swaziland
Vanuatu,0%,Vanatu
Togo,0%,Togo
United  Kingdom,0%,United Kingdom
Gb,0%,United Kingdom
Luxemburg,0%,Luxembourg
Kosovo,0%,Kosovo
Isle Of Wight,0%,Isle of Wight
El Salvador,0%,El Salvador
Cayman Island,0%,Cayman Islands
Central America,0%,NA
Viet Nam,0%,Vietnam 
West Midlands,0%,United Kingdom
South Yorkshire,0%,United Kingdom
Suriname,0%,Suriname
United Kindgom,0%,United Kingdom
Uk England,0%,United Kingdom
Singapore (079025),0%,Singapore
Peoples Republic Of China,0%,China
Republic Of China,0%,China
Malawi,0%,Malawi
H,0%,NA
"Jersey, Channel Islands",0%,Jersey 
French Polynesia,0%,French Polynesia
Hong  Kong,0%,Hong Kong
Hong Kong Sar,0%,Hong Kong
Wales Uk,0%,United Kingdom
Srilanka,0%,Sri Lanka
U.A.E.,0%,United Arab Emirates
Western Australia,0%,Australia
Republic Of Mauritius,0%,Mauritius
Republic Of Armenia,0%,Armenia
Somerset,0%,United Kingdom
Middlesex,0%,United Kingdom
"Korea, Republic Of",0%,South Korea
Guyana,0%,Guyana
Macao,0%,Macao
Falkland Islands,0%,Falkland Islands
Gibralter,0%,Gibraltar
Kingdom Of Bahrain,0%,Bahrain
Grenada,0%,Grenada
Abu Dhabi,0%,United Arab Emirates
Antigua And Barbuda,0%,Antigua And Barbuda
Cote D'Ivoire,0%,Ivory Coast
"Dubai, United Arab Emirates",0%,United Arab Emirates
"Dubai, Uae",0%,United Arab Emirates
Channel Isles,0%,UK offshore - unspecified 
Antigua,0%,Antigua And Barbuda
Aland Islands,0%,Finland
Warwickshire,0%,United Kingdom
"Taiwan, Province Of China",0%,Taiwan
United Kingom,0%,United Kingdom
Toronto,0%,Canada
Trinidad,0%,Trinidad And Tobago
West Yorkshire,0%,United Kingdom
St Kitts And Nevis,0%,Saint Kitts And Nevis
United Kingkom,0%,United Kingdom
Monte Carlo,0%,Monaco
P.R. China,0%,China
Notspecified,0%,NA
Martinique,0%,Martinique
Rep Of Panama,0%,Panama
"Finland, 00880",0%,Finland
J,0%,NA
Ethiopia,0%,Ethiopia
England Uk,0%,United Kingdom
Kyrgystan,0%,Kyrgyzstan
Greater Manchester,0%,United Kingdom
"China, 318020",0%,China
Belguim,0%,Belgium
British,0%,United Kingdom
St. Kitts And Nevis,0%,Saint Kitts And Nevis
Yemen,0%,Yemen
St. Vincent And The Grenadines,0%,Saint Vincent And The Grenadines
Switerland,0%,Switzerland
St Kitts & Nevis,0%,Saint Kitts And Nevis
Ukr,0%,Ukraine
United Kingdrom,0%,United Kingdom
Principality Of Monaco,0%,Monaco
Pr China,0%,China
Rus,0%,Russia
Sint Maarten (Dutch Part),0%,Saint Martin
"Scotland, Uk",0%,United Kingdom
Republic Of San Marino,0%,San Marino
Norfolk,0%,United Kingdom
Marshall Island,0%,Marshall Islands
Lanarkshire,0%,United Kingdom
Gilbraltar,0%,Gibraltar
Macau,0%,Macao
Gabon,0%,Gabon
Fiji,0%,Fiji
Grand-Duchy Of Luxembourg,0%,Luxembourg
Mali,0%,Mali
Jersey - Channel Islands,0%,Jersey 
Iran (Islamic Republic Of),0%,Iran
"Abu Dhabi, U.A.E",0%,United Arab Emirates
Aberdeen,0%,United Kingdom
1204 Switzerland,0%,Switzerland
(Netherlands Antilles),0%,Netherlands Antilles
British Virgin Isles,0%,British Virgin Islands
Bailiwick Of Guernsey,0%,Guernsey 
British Channel Islands,0%,UK offshore - unspecified 
Democratic Republic Of Congo,0%,Democratic Republic Of Congo
Chanel Islands,0%,UK offshore - unspecified 
England / United Kingdom,0%,United Kingdom
British Islands,0%,United Kingdom
Che,0%,NA
Brunei Darussalam,0%,Brunei
Ss7 4qn,0%,United Kingdom 
West Africa,0%,NA
Ukrain,0%,Ukraine
Switerzerland,0%,Switzerland
West Sussex,0%,United Kingdom
United Arab Emirate,0%,United Arab Emirates
Republic Of Tajikistan,0%,Tajikistan
North Somerset,0%,United Kingdom
Mozambique,0%,Mozambique
P.R.China,0%,China
Sinagpore,0%,Singapore
Palestine,0%,Palestine
Republic Of The Philippines,0%,Philippines
Republic De Panama,0%,Panama
Rwanda,0%,Rwanda
Republic Of Azerbaijan,0%,Azerbaijan
Scotland - Uk,0%,United Kingdom
Scotland Uk,0%,United Kingdom
Hong Kong      Prc,0%,Hong Kong
Gbr,0%,United Kingdom
Kong Kong,0%,Hong Kong
G.D. Luxembourg,0%,Luxembourg
Gurnsey,0%,Guernsey 
England/ United Kingdom,0%,United Kingdom
Latvija,0%,Latvia
Holland,0%,Netherlands 
"Malta, Bkr 3000",0%,Malta
"Iran, Islamic Republic Of",0%,Iran
Indian,0%,India
Brunei,0%,Brunei
B.V.I.,0%,British Virgin Islands
Chn,0%,China 
Bucks,0%,United Kingdom 
Eire,0%,Republic Of Ireland
7777788888,0%,NA
Avon,0%,United Kingdom
Dubai Uae,0%,United Arab Emirates
Alderney,0%,UK offshore - unspecified 
U. K.,0%,United Kingdom
The Cayman Islands,0%,Cayman Islands
The Russian Federation,0%,Russia
United Knigdom,0%,United Kingdom
"Wales, Uk",0%,United Kingdom
United Republic Of Tanzania,0%,Tanzania
St. Kitts Nevis,0%,Saint Kitts And Nevis
Taiwan Roc,0%,Taiwan
St Helier,0%,Jersey 
Taiwan (R.O.C),0%,Taiwan
The Netherlands,0%,Netherlands
United States Virgin Islands,0%,US Virgin Islands
"Wales, United Kingdom",0%,United Kingdom
York,0%,United Kingdom
South Pacific,0%,NA
United Kigdom,0%,United Kingdom
The British Virgin Islands,0%,British Virgin Islands
United Kiingdom,0%,United Kingdom
Tajikstan,0%,Tajikistan
"Taiwan, R.O.C.",0%,Taiwan
Wiltshire,0%,United Kingdom
Taiwan.,0%,Taiwan
St. Lucia,0%,Saint Lucia
Yorkshire,0%,United Kingdom
Russian,0%,Russia
Nertherlands,0%,Netherlands
Philipines,0%,Philippines
Singapore(018960),0%,Singapore
Merseyside,0%,United Kingdom 
Principauté De Monaco,0%,Monaco
Nevis And St Kitts,0%,Saint Kitts And Nevis
Nicaragua,0%,Nicaragua
Saint Vincent & The Grenadines,0%,Saint Vincent And The Grenadines
Paris,0%,France 
Maurituis,0%,Mauritius
Republic Of Bulgaria,0%,Bulgaria
Moscow,0%,Moscow
Republic Of Serbia,0%,Serbia
Sotland,0%,United Kingdom
Republic Of Singapore,0%,Singapore
Republica Moldova,0%,Moldova
Grand Cayman,0%,Cayman Islands
"Isle Of Man, United Kingdom",0%,Isle Of Man
Iom,0%,Isle Of Man
Guersney,0%,Guersney
Jersey Channel Islands,0%,Jersey 
Guinea,0%,Guinea
Leichtenstein,0%,Liechtenstein
Foreign,0%,NA
Guadeloupe,0%,Guadeloupe
Herts,0%,United Kingdom
Italia,0%,Italy 
"Hong Kong, China",0%,Hong Kong
Kazakstan,0%,Kazakhstan
G.B,0%,Untied Kingdom
La15 5rg,0%,United Kingdom 
Honk Kong,0%,Hong Kong
Greater London,0%,United Kingdom
India.,0%,India
Gb-Eng,0%,United Kingdom
East Timor,0%,East Timor
Asia,0%,NA
Bv Islands,0%,British Virgin Islands
Brasil,0%,Brazil
Berkshire,0%,United Kingdom
British Vergin Islands,0%,British Virgin Islands
Burkina Faso,0%,Burkina Faso
Crete,0%,Greece
Conwy,0%,United Kingdom
Crown Dependencies United Kingdom,0%,UK offshore - unspecified 
British Virgin Islands Vg1110,0%,British Virgin Islands
Ct 06902,0%,United States of America
China .,0%,China
American Samoa,0%,United States of America
China 11142,0%,China
Cumbria,0%,United Kingdom
En3 7lh,0%,Uniteed Kingdom 
Danmark,0%,Denmark
Engand,0%,United Kingdom
Bailiwick Of Jersey,0%,Jersey 
Africa,0%,NA
Canary Islands,0%,Spain
Suisse,0%,Switzerland
The People's Republic Of China,0%,China
Wales United Kingdom,0%,United Kingdom
Taiwan (R.O.C.),0%,Taiwan
"Taiwan, Roc",0%,Taiwan
State Of Delaware,0%,United States of America
Tur,0%,Turkey
U.A.E,0%,United Arab Emirates
Unied Kingdom,0%,United Kingdom
United Kingdom - England,0%,United Kingdom
St Lucia,0%,Saint Lucia
United Kingdom - Jersey,0%,Jersey
Trinidad W.I.,0%,Trinidad And Tobago
United Kingdom (England),0%,United Kingdom
St. Vincent & The Grenadines,0%,Saint Vincent And The Grenadines
Taiwan R.O.C,0%,Taiwan
Wales U.K,0%,United Kingdom
Tortola,0%,British Virgin Islands
Swtizerland,0%,Switzerland
South Glamorgan,0%,United Kingdom
Unite Kingdom,0%,United Kingdom
United Kingodm,0%,United Kingdom
Southern Ireland,0%,Republic Of Ireland
The Kyrgyz Republic,0%,Kyrgyzstan
St Vincent,0%,Saint Vincent And The Grenadines
United Kngdom,0%,United Kingdom
Vatican City,0%,Vatican
South Australia,0%,Australia
Uk Wales,0%,United Kingdom
Uea,0%,United Arab Emirates
Virgin Island (British),0%,British Virgin Islands
United Staes Of America,0%,United States of America
Tenerife,0%,Spain
The Cook Islands,0%,The Cook Islands
